Date,ID,Title,Artist,Playback Count
21/07/2021,573386652,Bad Habits,Ed Sheeran,2390054
21/07/2021,537255883,Essence,Wizkid Feat. Tems,801260
21/07/2021,565106878,Kiss Me More,Doja Cat Feat. SZA,4204257
21/07/2021,508501557,HEARTBREAK ANNIVERSARY,GIV?ON,3576016
21/07/2021,552221348,Stay,The Kid LAROI & Justin Bieber,413301
21/07/2021,564095960,good 4 u,Olivia Rodrigo,2285416
21/07/2021,571007966,Leave Before You Love Me,Marshmello & Jonas Brothers,1205435
21/07/2021,570428002,We Win (Space Jam: A New Legacy),Lil Baby & Kirk Franklin,165219
21/07/2021,572701645,Late At Night,Roddy Ricch,489913
21/07/2021,573239715,You Right (Extended),Doja Cat & The Weeknd,349804
21/07/2021,542730886,telepatï¿½Kali Uchis,Kali Uchis,3458863
21/07/2021,568200861,EVERY CHANCE I GET [Mixed],DJ Khaled Feat. Lil Baby & Lil Durk,653204
21/07/2021,563288858,You,"Regard, Troye Sivan & Tate McRae",1004493
21/07/2021,564094803,deja vu,Olivia Rodrigo,1388102
21/07/2021,385334817,Beggin,Må®¥skin,3417598
21/07/2021,514260283,Heat Waves,Glass Animals,2289882
21/07/2021,564361520,RAPSTAR,Polo G,1072284
21/07/2021,546919515,WHOLE LOTTA MONEY,BIA,565875
21/07/2021,540976295,Lil Bit,Nelly & Florida Georgia Line,806299
21/07/2021,560275260,Leave The Door Open,"Bruno Mars, Anderson .Paak & Silk Sonic",5735226
21/07/2021,574799712,Smells Like Teen Spirit,Malia J,486698
21/07/2021,569990487,I Like Dat,T-Pain & Kehlani,288442
21/07/2021,552136231,GYALIS,Capella Grey,208845
21/07/2021,538322038,Levitating,Dua Lipa Feat. DaBaby,3120183
21/07/2021,573239739,Need To Know,Doja Cat,339314
21/07/2021,570187620,Todo De Ti,Rauw Alejandro,1771691
21/07/2021,570413102,m y . l i f e,"J. Cole, 21 Savage & Morray",412575
21/07/2021,573286436,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",168205
21/07/2021,575061784,Pepas,Farruko,279803
21/07/2021,576945894,Motley Crew,Post Malone,132520
21/07/2021,556102751,MONTERO (Call Me By Your Name),Lil Nas X,5939758
21/07/2021,460791620,Arcade,Duncan Laurence,4497980
21/07/2021,543181432,WITHOUT YOU,The Kid LAROI,4584297
21/07/2021,575383634,In Da Getto,J Balvin & Skrillex,380228
21/07/2021,565900902,Wockesha,Moneybagg Yo,577797
21/07/2021,560348544,Peaches,Justin Bieber Feat. Daniel Caesar & GIV?ON,4493518
21/07/2021,573210085,Thot Shit,Megan Thee Stallion,424967
21/07/2021,568180108,Fancy Like,Walker Hayes,131507
21/07/2021,469270443,Astronaut In The Ocean,Masked Wolf,10271910
21/07/2021,511164515,Love Again,Dua Lipa,1322547
21/07/2021,566757210,Come Through,H.E.R. Feat. Chris Brown,386721
21/07/2021,510700753,Save Your Tears,The Weeknd,7421102
21/07/2021,550051475,Way Less Sad,AJR,486969
21/07/2021,504483956,My Potna Dem,$IlkMoney,212655
21/07/2021,577722304,Wild Side,Normani Feat. Cardi B,44353
21/07/2021,568076990,A-O-K,Tai Verdes,248852
21/07/2021,537223884,Love Goes,Sam Smith & Labrinth,94102
21/07/2021,573587477,Control The World,24kGoldn Feat. Lil Wayne,35617
21/07/2021,570834839,Butter,BTS,2356555
21/07/2021,555285022,Time Today,Moneybagg Yo,662043
21/07/2021,573221779,working,Tate McRae & Khalid,142408
21/07/2021,532768662,my ex's best friend,Machine Gun Kelly & blackbear,1562128
21/07/2021,564125521,4 Da Gang (Mixed),42 Dugg & Roddy Ricch,397758
21/07/2021,463104430,Fire For You,Cannons,1351484
21/07/2021,572573973,Angles,Wale Feat. Chris Brown,124784
21/07/2021,560285844,Beautiful Mistakes,Maroon 5 & Megan Thee Stallion,2145030
21/07/2021,50852501,Rosyln,Bon Iver & St. Vincent,1593735
21/07/2021,50881429,Alors On Danse,Stromae,7069066
21/07/2021,555775434,Calling My Phone,Lil Tjay & 6LACK,2464234
21/07/2021,573239718,Ain't Shit,Doja Cat,185223
21/07/2021,558189802,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,280961
21/07/2021,333123140,Human,Rag'n'Bone Man,15663738
21/07/2021,573820877,Beethoven,Kenndog,69459
21/07/2021,577458329,Woo Baby,Pop Smoke Feat. Chris Brown,45072
21/07/2021,570156203,Straightenin,Migos,361329
21/07/2021,572583713,Yonaguni,Bad Bunny,583588
21/07/2021,576782932,WHOLE LOTTA MONEY [Remix],BIA Feat. Nicki Minaj,61291
21/07/2021,567048553,Botella Tras Botella,Gera MX & Christian Nodal,864801
21/07/2021,547867863,Best Friend,Saweetie Feat. Doja Cat,1703195
21/07/2021,539105437,You're Mines Still,Yung Bleu Feat. Drake,1870201
21/07/2021,576423030,AS I RECALL,FINALSRADIO,41402
21/07/2021,570569787,Maybach,42 Dugg Feat. Future,145715
21/07/2021,521080740,My Boy,Elvie Shane,366975
21/07/2021,10059653,"It's All Over Now, Baby Blue",The Original Animals,37787
21/07/2021,516477861,OK Cool,CEO Trayle,92111
21/07/2021,566388301,His & Hers,Internet Money & Gunna Feat. Don Toliver & Lil Uzi Vert,448254
21/07/2021,542792334,DKITI,Bad Bunny & Jhay Cortez,3542248
21/07/2021,57048641,Chiquitita,ABBA,956629
21/07/2021,541709647,Quicksand,Morray,985468
21/07/2021,567407114,Touch Down 2 Cause Hell,Hd4president,642111
21/07/2021,574263298,Ball If I Want To,DaBaby,177388
21/07/2021,577458334,Tell The Vision,Pop Smoke Feat. Kanye West & Pusha T,33746
21/07/2021,550784332,Nevada,YoungBoy Never Broke Again,246245
21/07/2021,549952578,drivers license,Olivia Rodrigo,6953304
21/07/2021,548338945,So Alone,Labrinth,177117
21/07/2021,491675299,Things A Man Oughta Know,Lainey Wilson,287797
21/07/2021,556245712,Chasing After You,Ryan Hurd & Maren Morris,221157
21/07/2021,561448390,Tombstone,Rod Wave,314342
21/07/2021,563439380,Twerkulator,City Girls,278467
21/07/2021,564660626,2055,Sleepy Hallow,74038
21/07/2021,51085537,Just A Friend,Biz Markie,1530191
21/07/2021,535825899,Forever After All,Luke Combs,540765
21/07/2021,566334489,Ski,"Young Stoner Life, Young Thug & Gunna",398966
21/07/2021,517715261,Go Crazy,Chris Brown & Young Thug,4039686
21/07/2021,560746534,Wants and Needs,Drake Feat. Lil Baby,940328
21/07/2021,577532581,Blood On The Leaves,?yvngxchris,39286
21/07/2021,503576063,Blinding Lights,The Weeknd,21978647
21/07/2021,535548665,Be Alright,"Evan Craft, Danny Gokey & Redimi2",155085
21/07/2021,518008253,Single Saturday Night,Cole Swindell,307424
21/07/2021,526058534,Toot That,Erica Banks Feat. BeatKing,257565
21/07/2021,53053965,Bad Girls,M.I.A.,2035446
21/07/2021,558778653,Can't Let It Show,Tank,334271
21/07/2021,560227366,I WANNA BE YOUR SLAVE,Må®¥skin,1657571
21/07/2021,532270360,One Too Many,Keith Urban & P!nk,1568553
21/07/2021,569364037,Loco,"Justin Quiles, Chimbala & Zion & Lennox",448296
21/07/2021,570401689,I Was On a Boat That Day,Old Dominion,112219
21/07/2021,561571511,Outside,MO3 & OG Bobby Billions,230364
21/07/2021,566909807,All I Know So Far,P!nk,533983
21/07/2021,563610551,La Mamá ¤e la Mamá¬¢El Alfa," CJ & Chael Produciendo Feat. El Cherry Scom""",662706
21/07/2021,544302731,Mystery Lady,Masego & Don Toliver,480484
21/07/2021,570443602,Seeing Green (Mixed),"Nicki Minaj, Drake & Lil Wayne",373970
21/07/2021,555481913,Fiel,"Los Legendarios, Wisin & Jhay Cortez",1296503
21/07/2021,542630012,pov,Ariana Grande,697958
21/07/2021,542990923,Chosen,Blxst & Tyga Feat. Ty Dolla $ign,281343
21/07/2021,561538179,Follow You,Imagine Dragons,2418239
21/07/2021,575388675,Running Low,SYML,57103
21/07/2021,575231739,WUSYANAME,"Tyler, The Creator Feat. YoungBoy Never Broke Again & Ty Dolla $ign",87156
21/07/2021,573270699,Wasting Time,Brent Faiyaz Feat. Drake,57799
21/07/2021,573012458,FWMGAB,French Montana,122096
21/07/2021,567041280,Tell Em,Cochise Feat. $Not,586887
21/07/2021,45263280,"Flightless Bird, American Mouth (Twilight Soundtrack Version)",Iron & Wine,2488809
21/07/2021,567381435,NDA,Billie Eilish,94854
21/07/2021,41239117,Bandoleros,Don Omar & Tego Calderon,3413177
21/07/2021,564095965,traitor,Olivia Rodrigo,390804
21/07/2021,494794768,Blame It On You,Jason Aldean,243312
21/07/2021,565768462,Girl From Rio,Anitta,376004
21/07/2021,545712060,Pick Up Your Feelings,Jazmine Sullivan,524233
21/07/2021,568200858,I DID IT,"DJ Khaled Feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby",305172
21/07/2021,575816802,Memory,Kane Brown & blackbear,30117
21/07/2021,538802718,We Didn't Have Much,Justin Moore,223039
21/07/2021,553778502,Glad You Exist (Acoustic),Dan + Shay,268314
21/07/2021,543765429,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Feat. Florida Georgia Line,169935
21/07/2021,573458387,Bezos I,Bo Burnham,138213
21/07/2021,540951142,Damage,H.E.R.,1043546
21/07/2021,342158320,Dark Red,Steve Lacy,299874
21/07/2021,528456148,What You Know Bout Love,Pop Smoke,2681773
21/07/2021,498057238,I Need Your Love,Keane,61189
21/07/2021,5189623,Mr. Grieves,Pixies,41602
21/07/2021,217590,Goddess On A Hiway,Mercury Rev,74581
21/07/2021,10530810,Smells Like Teen Spirit,Nirvana,7496628
21/07/2021,565768319,Build a Bitch,Bella Poarch,1058444
21/07/2021,490675972,Circles,Post Malone,10421462
21/07/2021,96844395,Black Out Days,Phantogram,881563
21/07/2021,555418199,Complicated,Leela James,128122
21/07/2021,508366740,"...And To Those I Love, Thanks For Sticking Around",$uicideboy$,972347
21/07/2021,557637899,JUST LIKE YOU,NF,126387
21/07/2021,546930430,On Me,Lil Baby,877643
21/07/2021,361336349,Dinero,Trinidad Cardona,1987710
21/07/2021,564533132,Pareja Del Añ¯¬“ebastiá® Yatra & Myke Towers,ebastiá® Yatra & Myke Towers,1183438
21/07/2021,576546725,Talk 2 Me,Racki Diorr,53836
21/07/2021,530722772,Hello,Pop Smoke Feat. A Boogie Wit da Hoodie,1443485
21/07/2021,545251141,Famous Friends,Chris Young & Kane Brown,274862
21/07/2021,529722332,Mood,24kGoldn Feat. iann dior,6951181
21/07/2021,456773549,I Hope,Gabby Barrett,3129080
21/07/2021,525560410,Track Star,Mooski,1148286
21/07/2021,483619019,Settling Down (Acoustic),Miranda Lambert,297118
21/07/2021,566086696,Talkin' Bout,Loui Feat. Saweetie,229208
21/07/2021,504687476,Roses (Imanbek Remix),SAINt JHN,24602089
21/07/2021,512620229,you broke me first,Tate McRae,3794100
21/07/2021,566379768,t r a n s p a r e n t s o u l,WILLOW Feat. Travis Barker,271432
21/07/2021,40602165,Luxurious,Gwen Stefani,257764
21/07/2021,535306088,Memory I Don't Mess With,Lee Brice,177220
21/07/2021,53998514,Turning Page,Sleeping At Last,1666289
21/07/2021,571456285,Splash,Tyga Feat. Moneybagg Yo,120393
21/07/2021,10510056,Piece Of My Heart,Big Brother & The Holding Company,1866668
21/07/2021,157993715,If You Love Me (Really Love Me),Brenda Lee,254774
21/07/2021,318319258,Time Moves Slow,BADBADNOTGOOD Feat. Sam Herring,351930
21/07/2021,557779606,No More Parties (Remix),Coi Leray Feat. Lil Durk,555647
21/07/2021,56323325,Let Me Sign,Rob Pattinson,945655
21/07/2021,445889608,Someone You Loved,Lewis Capaldi,22949445
21/07/2021,567009919,Higher Power,Coldplay,932934
21/07/2021,20144841,Dreams,Fleetwood Mac,6143557
21/07/2021,466040067,Dance Monkey,Tones And I,39275374
21/07/2021,509527615,Kings & Queens,Ava Max,5574360
21/07/2021,502038746,Watermelon Sugar,Harry Styles,6718249
21/07/2021,568270746,What You Need,Don Toliver,141584
21/07/2021,549867298,Friday (Dopamine Re-Edit),Riton & Nightcrawlers Feat. Mufasa & Hypeman,5122916
21/07/2021,555375589,Waves,Luke Bryan,131330
21/07/2021,556584881,Batman,LPB Poody,502551
21/07/2021,462764378,In The Dark,YG,136391
21/07/2021,576295394,Permission to Dance (Instrumental),BTS,407388
21/07/2021,572128499,Hats Off,"Lil Baby, Lil Durk & Travis Scott",129971
21/07/2021,575180108,AM Remix,"Nio Garcia, J Balvin & Bad Bunny",172734
21/07/2021,564535130,My Jesus,Anne Wilson,61675
21/07/2021,501834427,Before You Go,Lewis Capaldi,9132667
21/07/2021,528456193,For The Night,Pop Smoke Feat. Lil Baby & DaBaby,3079964
21/07/2021,554247111,All My Favorite Songs,Weezer,225315
21/07/2021,533961965,She Got It,Jai'Len Josey,10366
21/07/2021,506351540,Bang!,AJR,2453888
21/07/2021,278319535,Way Down We Go,Kaleo,18946285
21/07/2021,573587482,About That Time,"Dame D.O.L.L.A., G-Eazy, P-Lo & White Dave",22080
21/07/2021,544159678,Back In Blood,Pooh Shiesty Feat. Lil Durk,745084
21/07/2021,556549439,Up,Cardi B,1879972
21/07/2021,556819076,Pain,PinkPantheress,160965
21/07/2021,566758035,Save Your Tears (Remix),The Weeknd & Ariana Grande,892042
21/07/2021,531858703,#BrooklynBloodPop!,SyKo,1748357
21/07/2021,555743940,La Di Die,Nessa Barrett Feat. jxdn,1428844
21/07/2021,559787093,Country Again,Thomas Rhett,147671
21/07/2021,573771166,Esto No a Terminado (This Isn't Over) [from the Forever Purge],Snow Tha Product & The Newton Brothers,56411
21/07/2021,557794450,2/Catorce,Rauw Alejandro & Mr. Naisgai,602503
23/07/2021,573386652,Bad Habits,Ed Sheeran,2511883
23/07/2021,537255883,Essence,Wizkid Feat. Tems,819066
23/07/2021,565106878,Kiss Me More,Doja Cat Feat. SZA,4250144
23/07/2021,552221348,Stay,The Kid LAROI & Justin Bieber,457931
23/07/2021,508501557,HEARTBREAK ANNIVERSARY,GIV?ON,3593793
23/07/2021,570428002,We Win (Space Jam: A New Legacy),Lil Baby & Kirk Franklin,173490
23/07/2021,564095960,good 4 u,Olivia Rodrigo,2324279
23/07/2021,571007966,Leave Before You Love Me,Marshmello & Jonas Brothers,1239219
23/07/2021,572701645,Late At Night,Roddy Ricch,502362
23/07/2021,573239715,You Right (Extended),Doja Cat & The Weeknd,368059
23/07/2021,542730886,telepatía,Kali Uchis,3473553
23/07/2021,514260283,Heat Waves,Glass Animals,2315361
23/07/2021,563288858,You,"Regard, Troye Sivan & Tate McRae",1018208
23/07/2021,568200861,EVERY CHANCE I GET [Mixed],DJ Khaled Feat. Lil Baby & Lil Durk,663228
23/07/2021,564094803,deja vu,Olivia Rodrigo,1402602
23/07/2021,385334817,Beggin,Måneskin,3505708
23/07/2021,564361520,RAPSTAR,Polo G,1083412
23/07/2021,540976295,Lil Bit,Nelly & Florida Georgia Line,814511
23/07/2021,546919515,WHOLE LOTTA MONEY,BIA,574179
23/07/2021,575061784,Pepas,Farruko,313422
23/07/2021,560275260,Leave The Door Open,"Bruno Mars, Anderson .Paak & Silk Sonic",5758785
23/07/2021,569990487,I Like Dat,T-Pain & Kehlani,296723
23/07/2021,552136231,GYALIS,Capella Grey,217568
23/07/2021,573239739,Need To Know,Doja Cat,383022
23/07/2021,538322038,Levitating,Dua Lipa Feat. DaBaby,3140693
23/07/2021,577722304,Wild Side,Normani Feat. Cardi B,55806
23/07/2021,570413102,m y . l i f e,"J. Cole, 21 Savage & Morray",419141
23/07/2021,570187620,Todo De Ti,Rauw Alejandro,1798899
23/07/2021,573286436,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",175172
23/07/2021,576945894,Motley Crew,Post Malone,146478
23/07/2021,574799712,Smells Like Teen Spirit,Malia J,504077
23/07/2021,460791620,Arcade,Duncan Laurence,4516804
23/07/2021,556102751,MONTERO (Call Me By Your Name),Lil Nas X,5974216
23/07/2021,543181432,WITHOUT YOU,The Kid LAROI,4599832
23/07/2021,568180108,Fancy Like,Walker Hayes,138783
23/07/2021,575383634,In Da Getto,J Balvin & Skrillex,409591
23/07/2021,560348544,Peaches,Justin Bieber Feat. Daniel Caesar & GIV?ON,4515489
23/07/2021,565900902,Wockesha,Moneybagg Yo,583808
23/07/2021,511164515,Love Again,Dua Lipa,1349601
23/07/2021,573210085,Thot Shit,Megan Thee Stallion,437404
23/07/2021,50852501,Rosyln,Bon Iver & St. Vincent,1601427
23/07/2021,537223884,Love Goes,Sam Smith & Labrinth,104618
23/07/2021,566757210,Come Through,H.E.R. Feat. Chris Brown,393158
23/07/2021,469270443,Astronaut In The Ocean,Masked Wolf,10298964
23/07/2021,510700753,Save Your Tears,The Weeknd,7445096
23/07/2021,577458329,Woo Baby,Pop Smoke Feat. Chris Brown,53297
23/07/2021,550051475,Way Less Sad,AJR,492021
23/07/2021,573820877,Beethoven,Kenndog,86597
23/07/2021,568076990,A-O-K,Tai Verdes,255663
23/07/2021,573587477,Control The World,24kGoldn Feat. Lil Wayne,38943
23/07/2021,463104430,Fire For You,Cannons,1360965
23/07/2021,573221779,working,Tate McRae & Khalid,148723
23/07/2021,555285022,Time Today,Moneybagg Yo,665883
23/07/2021,532768662,my ex's best friend,Machine Gun Kelly & blackbear,1566764
23/07/2021,570834839,Butter,BTS,2375441
23/07/2021,572573973,Angles,Wale Feat. Chris Brown,129815
23/07/2021,50881429,Alors On Danse,Stromae,7105547
23/07/2021,564125521,4 Da Gang (Mixed),42 Dugg & Roddy Ricch,401761
23/07/2021,504483956,My Potna Dem,$IlkMoney,223626
23/07/2021,555775434,Calling My Phone,Lil Tjay & 6LACK,2472583
23/07/2021,558189802,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,284748
23/07/2021,560285844,Beautiful Mistakes,Maroon 5 & Megan Thee Stallion,2156481
23/07/2021,573239718,Ain't Shit,Doja Cat,197707
23/07/2021,577458334,Tell The Vision,Pop Smoke Feat. Kanye West & Pusha T,37926
23/07/2021,570156203,Straightenin,Migos,366059
23/07/2021,577532581,Blood On The Leaves,?yvngxchris,47876
23/07/2021,572583713,Yonaguni,Bad Bunny,594206
23/07/2021,45263280,"Flightless Bird, American Mouth (Twilight Soundtrack Version)",Iron & Wine,2493324
23/07/2021,567048553,Botella Tras Botella,Gera MX & Christian Nodal,872197
23/07/2021,548338945,So Alone,Labrinth,191090
23/07/2021,547867863,Best Friend,Saweetie Feat. Doja Cat,1709995
23/07/2021,576782932,WHOLE LOTTA MONEY [Remix],BIA Feat. Nicki Minaj,65846
23/07/2021,576423030,AS I RECALL,FINALSRADIO,44982
23/07/2021,521080740,My Boy,Elvie Shane,370141
23/07/2021,539105437,You're Mines Still,Yung Bleu Feat. Drake,1874170
23/07/2021,566388301,His & Hers,Internet Money & Gunna Feat. Don Toliver & Lil Uzi Vert,457476
23/07/2021,542792334,DÁKITI,Bad Bunny & Jhay Cortez,3548316
23/07/2021,570569787,Maybach,42 Dugg Feat. Future,148727
23/07/2021,333123140,Human,Rag'n'Bone Man,15671839
23/07/2021,51085537,Just A Friend,Biz Markie,1532167
23/07/2021,10059653,"It's All Over Now, Baby Blue",The Original Animals,39965
23/07/2021,491675299,Things A Man Oughta Know,Lainey Wilson,291029
23/07/2021,541709647,Quicksand,Morray,988881
23/07/2021,516477861,OK Cool,CEO Trayle,95210
23/07/2021,549952578,drivers license,Olivia Rodrigo,6968819
23/07/2021,567407114,Touch Down 2 Cause Hell,Hd4president,647046
23/07/2021,556245712,Chasing After You,Ryan Hurd & Maren Morris,224380
23/07/2021,574263298,Ball If I Want To,DaBaby,182383
23/07/2021,53998514,Turning Page,Sleeping At Last,1670439
23/07/2021,561448390,Tombstone,Rod Wave,317243
23/07/2021,517715261,Go Crazy,Chris Brown & Young Thug,4044287
23/07/2021,569364037,Loco,"Justin Quiles, Chimbala & Zion & Lennox",466471
23/07/2021,563439380,Twerkulator,City Girls,281683
23/07/2021,535548665,Be Alright,"Evan Craft, Danny Gokey & Redimi2",157852
23/07/2021,56323325,Let Me Sign,Rob Pattinson,948717
23/07/2021,518008253,Single Saturday Night,Cole Swindell,310360
23/07/2021,560746534,Wants and Needs,Drake Feat. Lil Baby,944389
23/07/2021,566334489,Ski,"Young Stoner Life, Young Thug & Gunna",402139
23/07/2021,550784332,Nevada,YoungBoy Never Broke Again,249332
23/07/2021,535825899,Forever After All,Luke Combs,543640
23/07/2021,503576063,Blinding Lights,The Weeknd,21992274
23/07/2021,570401689,I Was On a Boat That Day,Old Dominion,115044
23/07/2021,542990923,Chosen,Blxst & Tyga Feat. Ty Dolla $ign,289498
23/07/2021,558778653,Can't Let It Show,Tank,336943
23/07/2021,532270360,One Too Many,Keith Urban & P!nk,1572513
23/07/2021,57048641,Chiquitita,ABBA,970215
23/07/2021,560227366,I WANNA BE YOUR SLAVE,Måneskin,1694730
23/07/2021,566909807,All I Know So Far,P!nk,542322
23/07/2021,561571511,Outside,MO3 & OG Bobby Billions,232943
23/07/2021,564095965,traitor,Olivia Rodrigo,402992
23/07/2021,564660626,2055,Sleepy Hallow,78615
23/07/2021,53053965,Bad Girls,M.I.A.,2045836
23/07/2021,563610551,La Mamá de la Mamá,"El Alfa, CJ & Chael Produciendo Feat. El Cherry Scom",668092
23/07/2021,526058534,Toot That,Erica Banks Feat. BeatKing,259789
23/07/2021,5189623,Mr. Grieves,Pixies,44323
23/07/2021,575816802,Memory,Kane Brown & blackbear,34066
23/07/2021,573458387,Bezos I,Bo Burnham,164171
23/07/2021,555481913,Fiel,"Los Legendarios, Wisin & Jhay Cortez",1302665
23/07/2021,542630012,pov,Ariana Grande,701257
23/07/2021,573270699,Wasting Time,Brent Faiyaz Feat. Drake,60795
23/07/2021,575231739,WUSYANAME,"Tyler, The Creator Feat. YoungBoy Never Broke Again & Ty Dolla $ign",90442
23/07/2021,567381435,NDA,Billie Eilish,103920
23/07/2021,538802718,We Didn't Have Much,Justin Moore,225562
23/07/2021,545712060,Pick Up Your Feelings,Jazmine Sullivan,526722
23/07/2021,561538179,Follow You,Imagine Dragons,2433271
23/07/2021,573012458,FWMGAB,French Montana,125084
23/07/2021,553778502,Glad You Exist (Acoustic),Dan + Shay,270897
23/07/2021,567041280,Tell Em,Cochise Feat. $Not,594648
23/07/2021,543765429,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Feat. Florida Georgia Line,172208
23/07/2021,342158320,Dark Red,Steve Lacy,304583
23/07/2021,96844395,Black Out Days,Phantogram,896505
23/07/2021,570443602,Seeing Green (Mixed),"Nicki Minaj, Drake & Lil Wayne",376419
23/07/2021,555418199,Complicated,Leela James,130295
23/07/2021,10530810,Smells Like Teen Spirit,Nirvana,7506084
23/07/2021,540951142,Damage,H.E.R.,1045887
23/07/2021,533961965,She Got It,Jai'Len Josey,11426
23/07/2021,40602165,Luxurious,Gwen Stefani,262212
23/07/2021,74333079,A Thousand Years (Pt. 2),Christina Perri Feat. Steve Kazee,4874542
23/07/2021,565768319,Build a Bitch,Bella Poarch,1068006
23/07/2021,490675972,Circles,Post Malone,10427560
23/07/2021,528456148,What You Know Bout Love,Pop Smoke,2685663
23/07/2021,577458322,Demeanor,Pop Smoke Feat. Dua Lipa,29565
23/07/2021,557637899,JUST LIKE YOU,NF,128702
23/07/2021,494794768,Blame It On You,Jason Aldean,245309
23/07/2021,456773549,I Hope,Gabby Barrett,3131913
23/07/2021,508366740,"...And To Those I Love, Thanks For Sticking Around",$uicideboy$,980736
23/07/2021,564533132,Pareja Del Año,Sebastián Yatra & Myke Towers,1195172
23/07/2021,568200858,I DID IT,"DJ Khaled Feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby",307645
23/07/2021,535306088,Memory I Don't Mess With,Lee Brice,179463
23/07/2021,546930430,On Me,Lil Baby,879900
23/07/2021,217590,Goddess On A Hiway,Mercury Rev,76172
23/07/2021,573587482,About That Time,"Dame D.O.L.L.A., G-Eazy, P-Lo & White Dave",24527
23/07/2021,575388675,Running Low,SYML,60604
23/07/2021,573689185,Cabo,Bankrol Hayden,45489
23/07/2021,361336349,Dinero,Trinidad Cardona,2013290
23/07/2021,529722332,Mood,24kGoldn Feat. iann dior,6959598
