Shazam Top 200 United States Chart,,,,,
"Sunday, 16 May 2021 [performance over the past 7 days]",,,,,
Rank,Artist,Title,Shazams,URL,Song ID
1,"Bruno Mars, Anderson .Paak & Silk Sonic",Leave The Door Open,3755707,https://www.shazam.com/track/560275260/leave-the-door-open,560275260
2,Masked Wolf,Astronaut In The Ocean,7687865,https://www.shazam.com/track/469270443/astronaut-in-the-ocean ,469270443
3,Doja Cat Feat. SZA,Kiss Me More,1183486,https://www.shazam.com/track/565106878/kiss-me-more,565106878
4,Justin Bieber Feat. Daniel Caesar & GIVĒON,Peaches,2591774,https://www.shazam.com/track/560348544/peaches,560348544
5,GIVĒON,HEARTBREAK ANNIVERSARY,2384217,https://www.shazam.com/track/508501557/heartbreak-anniversary,508501557
6,Moneybagg Yo,Wockesha,136474,https://www.shazam.com/track/565900902/wockesha,565900902
7,The Kid LAROI,WITHOUT YOU,4316812,https://www.shazam.com/track/543181432/without-you,543181432
8,Lil Tjay & 6LACK,Calling My Phone,1476965,https://www.shazam.com/track/555775434/calling-my-phone,555775434
9,Kali Uchis,telepatía,2484324,https://www.shazam.com/track/542730886/telepati%CC%81a,542730886
10,DJ Khaled Feat. Lil Baby & Lil Durk,EVERY CHANCE I GET,122844,https://www.shazam.com/track/568200861/every-chance-i-get,568200861
11,Polo G,RAPSTAR,452555,https://www.shazam.com/track/564361520/rapstar,564361520
12,The Weeknd,Save Your Tears,5809981,https://www.shazam.com/track/510700753/save-your-tears,510700753
13,Maroon 5 & Megan Thee Stallion,Beautiful Mistakes,1254651,https://www.shazam.com/track/560285844/beautiful-mistakes,560285844
14,Mooski,Track Star,839483,https://www.shazam.com/track/525560410/track-star,525560410
15,Olivia Rodrigo,deja vu,597474,https://www.shazam.com/track/564094803/deja-vu,564094803
16,Fearless Soul,Fix You,87825,https://www.shazam.com/track/534987282/fix-you,534987282
17,Hd4president,Touch Down 2 Cause Hell,101838,https://www.shazam.com/track/567407114/touch-down-2-cause-hell,567407114
18,Dua Lipa,Levitating,2328204,https://www.shazam.com/track/538322038/levitating,538322038
19,Morray,Quicksand,719892,https://www.shazam.com/track/541709647/quicksand,541709647
20,Machine Gun Kelly & blackbear,my ex's best friend,1303334,https://www.shazam.com/track/532768662/my-exs-best-friend,532768662
21,Glass Animals,Heat Waves,1577663,https://www.shazam.com/track/514260283/heat-waves,514260283
22,Drake Feat. Lil Baby,Wants and Needs,495541,https://www.shazam.com/track/560746534/wants-and-needs,560746534
23,Yung Bleu Feat. Drake,You’re Mines Still,1584123,https://www.shazam.com/track/539105437/youre-mines-still,539105437
